# Tidal invariants for compact binaries on quasi-circular orbits
# Authors: S. R. Dolan,, P. Nolan, A. C. Ottewill, N. Warburton, and B. Wardell
# Phys. Rev. D 91, 023009 (2015), arXiv:1406.4890
# Published Data appears in Table I
# Format:
# r_Omega/M    \Delta\lambda^E_1    \Delta\lambda^E_2    \Delta\lambda^E_3    \Delta\chi
4.	0.124643083043	-0.120730364659	-0.00391271838453	0.119505617085	0.062059927979
5.	0.0276048162228	-0.0217623317583	-0.00584248446449	0.0206379254102	0.0307987615215
6.	0.0125009071026	-0.00853346795295	-0.00396743914964	0.00746326072544	0.018035945769
7.	0.00713119569832	-0.00446794557538	-0.00266325012294	0.00359482492474	0.0116897679241
8.	0.00454662923752	-0.00270175256799	-0.00184487666953	0.00201488674141	0.00810949353524
9.	0.00310253317396	-0.00178069581806	-0.00132183735589	0.00124157717625	0.00590798502939
10.	0.00221987210893	-0.00124378422421	-0.000976087884721	0.000816987907232	0.00446668994779
12.	0.00125561205099	-0.000682302030854	-0.000573310020132	0.000404957204672	0.00277073054838
14.	0.00077996577101	-0.000416146336672	-0.000363819434337	0.000227128540894	0.00185939663738
16.	0.000517690252913	-0.000272911197989	-0.000244779054925	0.000138691988691	0.00131984784139
18.	0.000361123864339	-0.000188776522748	-0.000172347341591	0.0000901546982691	0.000977171317875
20.	0.00026187841044	-0.000136049623949	-0.000125828786491	0.0000614931781943	0.000747601173528
30.	0.0000764205652554	-0.0000390707419872	-0.0000373498232682	0.0000143357179908	0.000268628079813
40.	0.0000319976522699	-0.0000162499773274	-0.0000157476749426	5.15281649939e-6	0.000130511975094
50.	0.000016308133753	-8.25202517458e-6	-8.05610857847e-6	2.33815072508e-6	0.0000746610965586
60.	9.40858534234e-6	-4.75000366923e-6	-4.65858167311e-6	1.22795590189e-6	0.0000473327668903
70.	5.91181734892e-6	-2.98000495794e-6	-2.93181239098e-6	7.13003338522e-7	0.0000322053620959
80.	3.9538264381e-6	-1.99078798763e-6	-1.96303845047e-6	4.45463263366e-7	0.000023073934576
90.	2.77326058007e-6	-1.39517219566e-6	-1.37808838441e-6	2.94289927146e-7	0.0000171958426589
100.	2.01957688484e-6	-1.01533032618e-6	-1.00424655867e-6	2.0315664071e-7	0.0000132193326253
500.	1.60318513516e-8	-8.02409469186e-9	-8.00775665977e-9	7.17709743776e-10	2.37840715576e-7
1000.	2.00199530253e-9	-1.001502917e-9	-1.00049238553e-9	6.33408908079e-11	4.20979092138e-8
5000.	1.60031984834e-11	-8.00240092269e-12	-8.00079756069e-12	2.26342119063e-13	7.53980143152e-10
