9999.993666666	6.397688244645831e-20	-5.6370343928019656e-30
9873.257902578	6.818946411163619e-20	-6.2029251297592904e-30
9748.916251095	7.26500573611234e-20	-6.821488200944487e-30
9626.908788147	7.737155691324574e-20	-7.497246554654322e-30
9507.177452856	8.23674403149345e-20	-8.235079071932961e-30
9389.665978448	8.765179036422287e-20	-9.040246152395603e-30
9274.319826137	9.32393182698782e-20	-9.918417489990447e-30
9161.086121828	9.914538752718146e-20	-1.0875700282430809e-29
9049.91359552	1.053860385478743e-19	-1.1918670409121724e-29
8940.752523255	1.1197801407496467e-19	-1.3054405426577027e-29
8833.554671512	1.189387853567592e-19	-1.4290518661508446e-29
8728.273243915	1.2628657916522698e-19	-1.563519689757888e-29
8624.862830153	1.3404040561841124e-19	-1.7097239545672995e-29
8523.279357007	1.4222008685375172e-19	-1.8686100341678685e-29
8423.480041381	1.5084628658920225e-19	-2.0411931437844883e-29
8325.423345248	1.5994054055372933e-19	-2.2285630461565615e-29
8229.068932424	1.6952528783428499e-19	-2.4318891386117242e-29
8134.377627074	1.7962390317291445e-19	-2.652425568067685e-29
8041.311373893	1.9026073019419416e-19	-2.89151705065838e-29
7949.833199857	2.0146111562444125e-19	-3.1506045703537135e-29
7859.907177504	2.1325144452342003e-19	-3.431231938435304e-29
7771.498389646	2.256591765100339e-19	-3.735052315312294e-29
7684.572895475	2.387128830605284e-19	-4.0638351931176797e-29
7599.097697976	2.5244228588004947e-19	-4.419474095354481e-29
7515.040712616	2.668782963474974e-19	-4.803994340765926e-29
7432.370737224	2.8205305610361237e-19	-5.21956138062055e-29
7351.057423036	2.9799997878626995e-19	-5.668489690224159e-29
7271.071246834	3.147537929141406e-19	-6.153252184884854e-29
7192.383484147	3.3235058600601106e-19	-6.676489948477416e-29
7114.966183457	3.5082784988751014e-19	-7.241022831373982e-29
7038.792141374	3.7022452727695644e-19	-7.849860295157216e-29
6963.834878734	3.905810596475058e-19	-8.506213265833042e-29
6890.068617587	4.1193943637917546e-19	-9.213506189310751e-29
6817.46825903	4.343432452721727e-19	-9.975390080375228e-29
6746.009361853	4.578377244153403e-19	-1.07957562918217e-28
6675.668121968	4.824698154329627e-19	-1.167875067501255e-28
6606.421352583	5.082882181865897e-19	-1.262878924014312e-28
6538.246465087	5.353434469117688e-19	-1.365057341871255e-28
6471.121450634	5.6368788783917565e-19	-1.4749107797189253e-28
6405.024862372	5.933758583404702e-19	-1.592971724959467e-28
6339.93579831	6.244636676340397e-19	-1.7198065928377214e-28
6275.833884796	6.570096790348018e-19	-1.8560177000129453e-28
6212.699260567	6.910743738582124e-19	-2.0022453121582932e-28
6150.512561366	7.26720416947428e-19	-2.1591698768404544e-28
6089.254905088	7.64012723899853e-19	-2.327514260772297e-28
6028.907877451	8.030185299626331e-19	-2.508046218590521e-28
5969.453518151	8.438074607603751e-19	-2.70158086787507e-28
5910.874307498	8.864516047075997e-19	-2.9089834460168216e-28
5853.153153509	9.31025587350922e-19	-3.1311720253880176e-28
5796.273379442	9.776066474591394e-19	-3.3691205165095096e-28
5740.218711741	1.0262747150833064e-18	-3.6238617587415302e-28
5684.973268402	1.0771124915591187e-18	-3.8964907455968805e-28
5630.521547722	1.1302055313474459e-18	-4.1881680719205795e-28
5576.848417416	1.1856423261002938e-18	-4.500123484308955e-28
5523.939104114	1.2435143905971516e-18	-4.833659661494442e-28
5471.779183183	1.3039163508025377e-18	-5.190156134925213e-28
5420.354568902	1.3669460341254652e-18	-5.571073503318217e-28
5369.651504949	1.432704561780509e-18	-5.97795764179922e-28
5319.656555199	1.5012964433735006e-18	-6.412444373906451e-28
5270.356594825	1.572829673718261e-18	-6.876264171935287e-28
5221.738801678	1.6474158320694613e-18	-7.371247216440384e-28
5173.790647955	1.725170183440447e-18	-7.899328516762787e-28
5126.499892124	1.8062117825779502e-18	-8.462553556384754e-28
5079.854571111	1.8906635802470805e-18	-9.063083925991494e-28
5033.842992734	1.978652531895127e-18	-9.703203310288561e-28
4988.453728374	2.0703097090333615e-18	-1.0385323905347256e-27
4943.675605878	2.165770412979963e-18	-1.1111992999084828e-27
4899.497702685	2.2651742913322885e-18	-1.188589974547211e-27
4855.909339162	2.368665457147985e-18	-1.2709882510574097e-27
4812.900072152	2.4763926106849083e-18	-1.3586936265424037e-27
4770.459688715	2.5885091638379944e-18	-1.4520220756101169e-27
4728.578200069	2.7051733678718676e-18	-1.551306845112917e-27
4687.245835707	2.826548443275232e-18	-1.656899335330529e-27
4646.453037702	2.9528027130892233e-18	-1.769170003148046e-27
4606.190455179	3.0841097389744643e-18	-1.8885092977714752e-27
4566.448938957	3.2206484602816583e-18	-2.0153286318451083e-27
4527.219536348	3.3626033362842597e-18	-2.1500614548987037e-27
4488.49348612	3.510164491338757e-18	-2.2931642652635243e-27
4450.262213598	3.663527863485391e-18	-2.4451177897400695e-27
4412.517325924	3.8228953560040765e-18	-2.6064281149098484e-27
4375.250607446	3.988474992523813e-18	-2.7776279400303716e-27
4338.454015248	4.1604810751399075e-18	-2.9592778207637186e-27
4302.11967481	4.339134346347531e-18	-3.151967518088822e-27
4266.239875795	4.524662153938441e-18	-3.356317412701085e-27
4230.80706796	4.717298619831823e-18	-3.572979888392501e-27
4195.813857179	4.917284812362311e-18	-3.8026409040698766e-27
4161.253001589	5.124868921994878e-18	-4.046021536716386e-27
4127.117407845	5.34030644089813e-18	-4.303879650088974e-27
4093.400127472	5.563860346610673e-18	-4.577011561222665e-27
4060.094353337	5.795801288596412e-18	-4.8662538854019946e-27
