r  	flux_corr             
10.	5.96965647365585e-6   
9.9	6.33894221023348e-6   
9.8	6.73486044891187e-6   
9.7	7.15960927555516e-6   
9.6	7.61559141488036e-6   
9.5	8.10543547306685e-6   
9.4	8.63201961572092e-6   
9.3	9.19849798708962e-6   
9.2	9.80833021822556e-6   
9.1	0.00001046531441979239
9. 	0.00001117362411035225
8.9	0.00001193784959444109
8.8	0.00001276304437786567
8.7	0.00001365477729202676
8.6	0.00001461919109654916
8.5	0.0000156630684422669 
8.4	0.00001679390620725334
8.3	0.0000180199993701455 
8.2	0.0000193505357610917 
8.1	0.000020795703235516  
8. 	0.0000223668110545963 
7.9	0.0000240764275349101 
7.8	0.0000259385363552488 
7.7	0.0000279687142896671 
7.6	0.0000301843335825756 
7.5	0.0000326047927062596 
7.4	0.0000352517798581784 
7.3	0.0000381495742822093 
7.2	0.0000413253913556588 
7.1	0.000044809778397594  
7. 	0.000048637069354333  
6.9	0.000052845907941514  
6.8	0.000057479850513603  
6.7	0.000062588061944824  
6.6	0.000068226120205932  
6.5	0.000074456948188485  
6.4	0.000081351894759428  
6.3	0.00008899199114224   
6.2	0.00009746941366133   
6.1	0.00010688918983107   
6. 	0.0001173711919371    
5.9	0.00012905247091212   
5.8	0.0001420899937804    
5.7	0.0001566638606379    
5.6	0.0001729810925494    
5.5	0.0001912801004944    
5.4	0.0002118359683436    
5.3	0.0002349667107446    
5.2	0.0002610407008979    
5.1	0.0002904855049786    
5. 	0.0003237984111876    
4.9	0.000361559004343     
4.8	0.000404444214307     
4.7	0.000453246361837     
4.6	0.000508894842892     
4.5	0.000572482237304     
4.4	0.000645295806624     
4.3	0.000728855566854     
4.2	0.00082496039483      
4.1	0.00093574396454      
4. 	0.001063742727        
3.9	0.001211978663821     
3.8	0.00138406018437      
3.7	0.00158430533095      
3.6	0.00181789244715      
3.5	0.0020910447102       
3.4	0.00241125651395      
3.3	0.0027875717542       
3.2	0.0032309268399       
3.1	0.0037545751509       
3. 	0.0043746154605       
2.9	0.0051106560091       
2.8	0.00598666143         
2.7	0.0070320573754       
2.6	0.008283220225        
2.5	0.0097855790182       
2.4	0.01159676594594      
2.3	0.01379167769501      
2.2	0.01647125338442      
2.1	0.01977892940908      
2. 	0.023934021244        
1.9	0.029305456622        
1.8	0.03659208613         
