r  	flux_corr              
10.	9.155681469919395e-6    
9.9	9.7635772048523129e-6   
9.8	0.0000104187624189752391
9.7	0.0000111254708266554411
9.6	0.0000118883663913142082
9.5	0.000012712592420857239 
9.4	0.0000136038268988696923
9.3	0.0000145683449268996546
9.2	0.0000156130892881504496
9.1	0.0000167457503006618305
9. 	0.0000179748563127619541
8.9	0.000019309876410228127 
8.8	0.0000207613371592287595
8.7	0.00002234095550898925  
8.6	0.0000240617903319950415
8.5	0.0000259384154980260277
8.4	0.00002798711787428531  
8.3	0.000030226124233012152 
8.2	0.000032675861749373912 
8.1	0.000035359257609509408 
8. 	0.000038302084250054065 
7.9	0.00004153335795164719  
7.8	0.00004508579995342301  
7.7	0.000048996370997342049 
7.6	0.000053306892317556169 
7.5	0.00005806476864451951  
7.4	0.00006332383190099398  
7.3	0.00006914532805899452  
7.2	0.00007559907426892436  
7.1	0.00008276481907460198  
7. 	0.00009073384555744178  
6.9	0.00009961086595041679  
6.8	0.0001095162670645502   
6.7	0.0001205887793406008   
6.6	0.0001329886592055001   
6.5	0.0001469014956261758   
6.4	0.0001625427785551528   
6.3	0.000180163400988434    
6.2	0.000200056309772997    
6.1	0.000222564575996446    
6. 	0.000248091227639759    
5.9	0.000277111280412345    
5.8	0.0003101865244472      
5.7	0.0003479837845994      
5.6	0.00039129758400916     
5.5	0.00044107842327973     
5.4	0.0004984682677546      
5.3	0.0005648453509536      
5.2	0.0006418811079547      
5.1	0.0007316130280896      
5. 	0.000836538580159       
4.9	0.0009597372862139      
4.8	0.001105030787325       
4.7	0.00127719478796        
4.6	0.001482300249352       
4.5	0.001727806231942       
4.4	0.002023666844594       
4.3	0.00238248180303        
