r  	flux_corr             
10.	7.7083695581450426e-6   
9.9	8.2062907644349428e-6   
9.8	8.7418305610373096e-6   
9.7	9.3182534916684416e-6   
9.6	9.9391449863104226e-6   
9.5	0.0000106084466941683291
9.4	0.0000113304961360204363
9.3	0.000012110071257917949 
9.2	0.0000129524405540798459
9.1	0.0000138634195265325514
9. 	0.0000148494343649747839
8.9	0.0000159175938653716699
8.8	0.000017075770763313405 
8.7	0.000018332693842287368 
8.6	0.000019698052392582121 
8.5	0.00002118261484940811  
8.4	0.000022798363735998543 
8.3	0.000024558649387390483 
8.2	0.00002647836534347065  
8.1	0.000028574148788027358 
8. 	0.000030864609988921824 
7.9	0.000033370595381240609 
7.8	0.00003611548975254858  
7.7	0.00003912556396417166  
7.6	0.00004243037580793543  
7.5	0.00004606323299468389  
7.4	0.00005006172894937826  
7.3	0.00005446836410965315  
7.2	0.00005933126786730116  
7.1	0.0000647050392509582   
7. 	0.0000706517280427266   
6.9	0.0000772419824012582   
6.8	0.0000845563944170849   
6.7	0.0000926870815902581   
6.6	0.0001017395502965904   
6.5	0.0001118348972800046   
6.4	0.0001231124175641578   
6.3	0.000135732702545049    
6.2	0.000149881331218415    
6.1	0.000165773281562346    
6. 	0.000183658219406412    
5.9	0.00020382686046864     
5.8	0.000226618649997       
5.7	0.00025243106675035     
5.6	0.00028173093808438     
5.5	0.0003150682563006      
5.4	0.0003530931207956      
5.3	0.0003965766063145      
5.2	0.0004464365890846      
5.1	0.0005037698696462      
5. 	0.0005698923416578      
4.9	0.0006463895092476      
4.8	0.000735180408018       
4.7	0.000838599018275       
4.6	0.000959498693188       
4.5	0.00110138713746        
4.4	0.00126860233217        
4.3	0.001466543920202       
4.2	0.001701980586257       
4.1	0.00198346290466        
4. 	0.00232188464162        
3.9	0.00273125632763        
3.8	0.003229787719427       
3.7	0.00384142868015        
3.6	0.00459810562466        
3.5	0.0055430400977         
3.4	0.0067357993139         
