r  	flux_corr             
10.	6.398913025774016e-6   
9.9	6.799595423194623e-6   
9.8	7.229558074390702e-6   
9.7	7.691252536735784e-6   
9.6	8.187362215577719e-6   
9.5	8.720826849796963e-6   
9.4	9.294869858392089e-6   
9.3	9.913028915104823e-6   
9.2	0.000010579190169448443
9.1	0.000011297626591648145
9. 	0.000012073040987216834
8.9	0.000012910614305676271
8.8	0.000013816059959060528
8.7	0.00001479568497139332 
8.6	0.00001585645890277963 
8.5	0.00001700609163401548 
8.4	0.00001825312126316054 
8.3	0.00001960701355845095 
8.2	0.00002107827463715032 
8.1	0.00002267857880328413 
8. 	0.00002442091378564935 
7.9	0.00002631974597938626 
7.8	0.00002839120871974992 
7.7	0.00003065331711755567 
7.6	0.00003312621357657641 
7.5	0.0000358324488114159  
7.4	0.0000387973040112024  
7.3	0.0000420491607754517  
7.2	0.0000456199266147376  
7.1	0.0000495455251982597  
7. 	0.0000538664621892191  
6.9	0.0000586284794936412  
6.8	0.0000638833131282646  
6.7	0.0000696895727735955  
6.6	0.000076113764524334   
6.5	0.000083231482511058   
6.4	0.000091128800105446   
6.3	0.000099903897536727   
6.2	0.000109668970189469   
6.1	0.000120552470934751   
6. 	0.00013270175096097    
5.9	0.00014628617721114    
5.8	0.00016150082132603    
5.7	0.00017857083572938    
5.6	0.0001977566581842     
5.5	0.0002193602180894     
5.4	0.0002437323576351     
5.3	0.0002712817308385     
5.2	0.0003024855062195     
5.1	0.0003379022780782     
5. 	0.0003781876917623     
4.9	0.0004241134162534     
4.8	0.000476590261195      
4.7	0.000536696446341      
4.6	0.000605712304382      
4.5	0.000685163053814      
4.4	0.000776871745173      
4.3	0.000883025100947      
4.2	0.001006255792023      
4.1	0.00114974580068       
4. 	0.00131735702582       
3.9	0.00151379735866       
3.8	0.00174483334735       
3.7	0.00201756466163       
3.6	0.00234078146162       
3.5	0.0027254344242        
3.4	0.0031852601483        
3.3	0.00373762457229       
3.2	0.00440467842647       
3.1	0.0052149696951        
3. 	0.0062057434547        
2.9	0.007426307712         
2.8	0.0089431114793        
2.7	0.0108476857435        
2.6	0.01326959643          
2.5	0.016398648657         
2.4	0.020525254063         
