r  	flux_corr               
10.	8.4135092987578575e-6   
9.9	8.9646885300531274e-6   
9.8	9.5581387515158172e-6   
9.7	0.0000101975873700011727
9.6	0.0000108871344955427545
9.5	0.000011631294738853538 
9.4	0.0000124350442199443931
9.3	0.0000133038735049368591
9.2	0.0000142438472964050315
9.1	0.0000152616718286815358
9. 	0.0000163647710667018654
8.9	0.0000175613729789572135
8.8	0.000018860607356546392 
8.7	0.0000202726168866406772
8.6	0.000021808683466485825 
8.5	0.000023481372071295107 
8.4	0.000025304694875614305 
8.3	0.00002729429878455848  
8.2	0.000029467680072800754 
8.1	0.000031844430472453649 
8. 	0.000034446519816905991 
7.9	0.000037298621261808017 
7.8	0.000040428486198070827 
7.7	0.000043867377283519162 
7.6	0.00004765056959728956  
7.5	0.00005181793182310358  
7.4	0.00005641460166732813  
7.3	0.00006149177250643688  
7.2	0.00006710761165013022  
7.1	0.00007332833474407512  
7. 	0.00008022946590030983  
6.9	0.00008789731936191     
6.8	0.0000964307461712356   
6.7	0.0001059431987875114   
6.6	0.0001165651783631434   
6.5	0.000128447144048585    
6.4	0.00014176298204132     
6.3	0.000156714155151038    
6.2	0.000173534682760961    
6.1	0.000192497137987294    
6. 	0.000213919895906535    
5.9	0.00023817592703764     
5.8	0.00026570350799184     
5.7	0.00029701932194992     
5.6	0.00033273455302653     
5.5	0.0003735747510914      
5.4	0.0004204044716941      
5.3	0.0004742579995362      
5.2	0.000536377871841       
5.1	0.0006082634703477      
5. 	0.0006917327055666      
4.9	0.0007890008588919      
4.8	0.000902782101606       
4.7	0.001036421260817       
4.6	0.00119406633277        
4.5	0.001380896487939       
4.4	0.00160342654988        
4.3	0.00186991824602        
4.2	0.002190942689723       
4.1	0.002580160497094       
4. 	0.00305541724116        
3.9	0.00364033565672        
